Sl,Review date,Review URL,Author name,Auther_Len,Author URL,Local Guide,Author reviews,Star rating,Rating Diff,Review content,Review image
1,15-10-2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnTUNZLUtuLTlRRRAB!2m1!1s0x0,Agastyyaa Sudarshannn,21,https://www.google.com/maps/contrib/109376789506076713152/reviews,TRUE,14,5,0,"Gada Electronics: Where Every Purchase is an Adventure (and Possibly a Soap Opera) Rating 5 Star (But only if you�re rating chaos per square foot) Let me start by saying I�ve never written a review while simultaneously laughing, crying, and questioning my life choices. Until I visited Gada Electronics. First off, Jethalal Gada, the owner, is a *vibe*. Picture a man who�s 10% businessman, 90% walking anxiety meme. I asked for a smartphone charger. He handed me a landline phone from 1992, winked, and said, �Same difference, na?� (Spoiler: It�s not.) When I corrected him, he laughed so hard he knocked over a pyramid of �Jethalal�s Guaranteed 1-Day Batteries� (guarantee expires in 2 hours). The store layout is� an experience. The �LED TV section� is just a single TV playing *Taarak Mehta Ka Ooltah Chashmah* on loop. Jethalal stood there, teary-eyed, pointing at the screen: �That�s my son! �Well, not *my* son. But in the serial, I�m his father. Wait, no�� Meanwhile, a customer tripped over a �festival special� diya display that�s been up since Diwali 2017. The highlight? The �Jethalal Special Discount.� It�s not a number. It�s a *journey*. He�ll scribble math on a notepad, panic, call his friend Bhide for help, then blame inflation and his father�s blood pressure. You�ll pay ?500 for a ?300 item and leave feeling like you owe *him* money. **Pros:** - Free entertainment (see: Jethalal arguing with a ceiling fan that �definitely has a ghost�). - Products come with lifetime confusion warranty. - You might meet Tapu Sena. Or a pigeon. Hard to tell. **Cons:** - The �AC Repair� service is just Jethalal fanning you with a newspaper while muttering Gujarati proverbs. - Every receipt is handwritten with a �Trust Me :)� postscript. - 70% chance you�ll accidentally join a family drama about mangos. In conclusion, Gada Electronics isn�t a store�it�s a front row seat to a sitcom where you�re both audience and unwitting cast member. Bring popcorn. And a lawyer. **Final Verdict:** 10/10 would get scolded by Jethalal�s dad again.",
2,15-10-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2xSUFluUklkalk1ZERkSGFXdHJiemxWTkhNNFJGRRAB!2m1!1s0x0,Bharath Singh Rajput,20,https://www.google.com/maps/contrib/107690155596742254650/reviews,FALSE,6,5,0,"I recently bought a Tony TV from Gada Electronics, and let me tell you... it was an experience more dramatic than Daya Bhabhi doing Garba in the living room during an earthquake.First of all, the moment I entered the shop, Jethalal Champaklal Gada greeted me like I was Ambani ji.""Arre bhai saab, aaiye aaiye, aap ke liye toh humne special Tony TV rakha hai — full HD, double HD, TRP breaking quality!""I asked, “Jethaji, yeh Tony TV kaun si company ka hai?”He said, “Company ka toh pata nahi, par sound Tony Stark jaisa hai aur display Katrina Kaif jaisa.” 😵‍💫I thought I was buying a TV, but after bringing it home, I wasn't sure if it was a TV, a spaceship, or a secret mission from NASA. The remote has more buttons than a pilot’s cockpit — and only 3 of them actually do anything.I pressed one button and suddenly it was showing live footage of Jethalal arguing with Babita ji over warranty terms. HOW?? 😳Also, I told Jethalal I wanted a smart TV. He said,“Arre bhai, is TV mein itna dimaag hai ki agar aap news dekho, yeh khud hi mute ho jaata hai – taaki aapka BP na badhe.”And yes — free installation was done by Bagha and Natu Kaka.It took 3 hours, 4 laddoos, and 6 arguments with society secretary Sodhi.At one point, Natu Kaka asked me, “Sir, current off karun kya ya dimaag ka fuse uda dun?” 😵Now coming to the features:Picture quality: Clearer than Popatlal’s marriage dreamsSound: Louder than Bapuji shouting “Jethiyaaaa!!”Smart TV functions: Tries to connect to Wi-Fi, ends up connecting to Tapu Sena’s walkie talkieVoice command: Responds only if you speak in Gujarati or scream like DayaAfter all this, I called customer care, and guess what — Jethalal picked up.He said,“Sir, hum toh dhandha karte hain, Amazon nahi. Replacement nahi, bas blessings milengi.” 😂",
3,15-07-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2sxT1MwNU5jVFpYU1U5UWJIaFdMVXBxVUdWelQwRRAB!2m1!1s0x0,Shubham Wankhede,16,https://www.google.com/maps/contrib/104607716227978020001/reviews,FALSE,3,5,0,"By: A Very Traumatized CustomerIf you’re ever in the mood for self-punishment or enjoy getting yelled at by a man with a permanently confused expression and a stress level higher than your phone’s screen brightness, Gada Electronics is the place for you.Customer service? Oh, it’s phenomenal—provided your definition of “service” includes getting scolded for asking basic questions, or being told “Bapuji ka dhyaan rakhna hai, mujhe koi tension nahi chahiye!” while your TV remote gets accidentally swapped with a calculator.Product quality? Absolutely unbeatable. I bought a mixer-grinder that doubles as a mosquito repellent and a geyser that only works when it’s raining. Truly cutting-edge stuff.The highlight? The ever-charming Jethalal Gada—owner, philosopher, and professional victim of life. His favorite pastimes include shouting “Ae, Natu Kaka!” every 5 minutes, and blaming Tapu Sena for everything from missing remotes to declining sales.Bonus features of shopping here:•	Natu Kaka’s 1980s billing speed.•	Free comedy show with every visit (no returns or refunds).•	Guaranteed emotional damage.If you value peace of mind, working electronics, and your sanity—please, go anywhere else. But if you’re looking for chaos, drama, and products with personalities of their own, Gada Electronics is your spiritual home.",
4,15-03-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VPdWs4WmU3enRpR3pBRRAB!2m1!1s0x0,Gaurav Taunk,12,https://www.google.com/maps/contrib/105435852792560302007/reviews,TRUE,49,5,0,"Gada Electronics, a well-known name in the Indian electronics retail space, has built a solid reputation for offering a wide range of consumer electronics at competitive prices. Located primarily in Mumbai, the store is often considered a one-stop destination for gadgets, home appliances, and audio-visual equipment. Their inventory includes products from top brands such as Samsung, Sony, LG, Apple, and more.What sets Gada Electronics apart is its commitment to customer service. The staff is knowledgeable, approachable, and well-trained to assist customers in choosing the right product based on their needs and budget. They often provide in-depth demonstrations, which helps buyers make informed decisions. Additionally, Gada is known for offering attractive discounts and festive deals, making it a go-to place during Diwali or end-of-season sales.The after-sales support is commendable, with prompt responses to installation or warranty-related queries. However, like many high-traffic retailers, the store can get crowded during weekends, and waiting times may be longer than expected.Overall, Gada Electronics stands out as a trusted and reliable electronics retailer with a strong emphasis on product variety, fair pricing, and dependable customer support. Whether you’re buying a smartphone or a new TV, Gada is a name worth considering.",
5,15-07-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT2pWb2F6WnBZMlZvVUc1a04yVmZWemhvYTB4bVRFRRAB!2m1!1s0x0,Harshad Sahu,12,https://www.google.com/maps/contrib/109650663578202957062/reviews,TRUE,22,5,0,"I recently bought a TONY TV, RamSung mobile, and the legendary ICECOOL OG224 fridge from Gada Electronics, and my stomach still hurts from laughing!The moment I entered, Natu Kaka came running from behind the counter, calculator in hand, and said,“Haaji bhai, batao kya chahiye? Discount toh Gada Electronics mein milega hi!”Meanwhile, Bagha Bhai, ever enthusiastic, was explaining the features of the Red Cherry 8400 mobile with his signature “Seth Ji, aap tension na lo, customer khush ho jayega!” enthusiasm.But then, in walked Bawri, yelling “Hiiiii Bagheshwar Ji!” at the top of her lungs right in the middle of a sale. The entire shop froze for a moment. Jethalal fuming:“Baghaaa! Yeh dukaan hai ya prem mandir? Bawri, kaam ke time pe yaha kyun aayi ho? Chalo niklo yaha se!”Bagha blushed and mumbled, “Sorry Seth Ji… Bawri Ji galti se aa gayi!” while poor Magan was trying to stop the ICECOOL fridge door from swinging open because someone had been checking its “extra cooling” feature for the last 15 minutes.At the end of the chaos, my TONY TV was packed perfectly, and the RamSung mobile is working smoother than I imagined.One thing’s for sure — shopping here is a full-on entertainment experience.Final verdict:Best prices ✔Quality products ✔Free laughter therapy ✔Thank you, Gada Electronics",
6,15-08-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sCi9DQUlRQUNvZENodHljRjlvT205amMwTm1PR2cwTVhOb1ZXMUlSVm80ZVdselgxRRAB!2m1!1s0x0,Ankit Gupta,11,https://www.google.com/maps/contrib/115198743135570501512/reviews,TRUE,60,5,0,"If you’re looking for electronics and entertainment, Gada Electronics in Gokuldham Society is the place to be! From the moment you enter, you’re greeted with the cheerful “Jethaaaa Lal Champak Lal Gada… Aapka Swagat Hai!” followed by his famous “Aiyyy Popatlal bhai!” to anyone who walks in.The shop may be small, but it’s filled with everything — TVs, mixers, radios, and more — all neatly packed in shelves that have probably seen more drama than a reality show. Prices? Well… let’s just say Jethalal ji is a master negotiator, so if you’re good at bargaining, you might just walk away with a “special society member discount.”Highlights of my visit:Customer Service: You don’t just get electronics, you get free jokes, tea, and sometimes Babita ji’s smile if you’re lucky.Ambience: Cozy, with the faint smell of Gujarati snacks and the constant background commentary from Nattu Kaka.Entertainment Value: Chances are high that your shopping will get interrupted by a Tapu Sena prank, a Popatlal marriage proposal discussion, or Bapuji scolding Jethalal.In short, Gada Electronics is less of a shop and more of a sitcom set where you happen to buy electronics. Highly recommended for both shopping and an unforgettable experience!",
7,15-05-2024,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNMMmFMV3hnRRAB!2m1!1s0x0,Zio,3,https://www.google.com/maps/contrib/116086359227939609583/reviews,FALSE,1,5,0,"Been there to buy Tony TV and ramsung washing machine, heard about the product alot from sources, the owner jethalal champaklal gada is very polite welcomed me by joining hands and saying Jai jinendra and the manager natwarlal prabhashankar oodaiwala guided me and a assistant manager called bageshwar help me with the instructions & functions/features of the tv and washing machine. But suddenly the owner got annoyed when a girl named bawri entered the shop for asking a recharge, I was confused why the owner got angry, the girl just asked for 10₹ recharge 😅Then I also liked to buy a phone called red cherry600, I loved how the owner jethalal guided me and gave me 5% takka  discount 😊And then they offered me kesarpista falooda but I refused, I payed the bill to the manager natwarlal prabhashankar oodaiwala then I left.Such a nice experience u guys should try 😂💞",
8,15-09-2025,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSURDLUtDaHdRRRAB!2m1!1s0x0,Vivek Salvi,11,https://www.google.com/maps/contrib/103576280642996978746/reviews,TRUE,89,4,1,"This store is more than just a place to shop – it’s an experience! From the latest mobile phones, televisions, and washing machines to a wide variety of other electronics, the collection is impressive. With competitive prices, exciting discounts, and amazing deals, you always get great value here. 💰✨The friendly and helpful staff make shopping smooth and enjoyable, and the welcoming atmosphere adds to the experience. The management is known for its generosity and customer-first approach, which truly sets this store apart.And of course, there’s a special charm – this is the iconic “Gada Electronics” from the all-time favorite show Taarak Mehta Ka Ooltah Chashmah! 📺 Fans still flock here to click pictures and relive those fun TV moments.Whether you’re here to shop or soak in the nostalgia, this place is definitely worth a visit! 🌟",
9,15-10-2023,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNwaHZ6MGtBRRAB!2m1!1s0x0,Aikramul Haq Ravat,18,https://www.google.com/maps/contrib/106393508521516437690/reviews,TRUE,120,1,4,"My visit to Gada Electronics left me highly disappointed. I had gone there to buy an LCD, but unfortunately, the owner, Mr. Jethalal, seemed more interested in his personal affairs with his crush, Babita ji. It was quite unprofessional and made me feel ignored as a customer. On the bright side, their sales executives, Nantu Kaka and Bagha, were courteous and helpful during my visit. They even offered me a cold coffee with ice cream and Rabdi falooda, which was a nice gesture. However, it was disheartening to learn that Jethalal doesn't pay them enough salary. Overall, the experience was underwhelming, and I expected better professionalism from the owner, I will complain to main owner of the shop Mr champaklal about his son.Note : This review has been written for entertainment purposes only... धन्यवाद",
10,15-08-2021,https://www.google.com/maps/reviews/data=!3m1!4b1!4m6!14m5!1m4!2m3!1sChdDSUhNMG9nS0VJQ0FnSUNhLTZHLTVBRRAB!2m1!1s0x0,Param Makwe,11,https://www.google.com/maps/contrib/111553209958889426910/reviews,FALSE,5,5,0,"Amazing experience with Mr Jethala Gada and his employees Mr Natwarlal Prabhashankar Undhaiwala and Mr Bageshwar Dadukh Undhaiwala. Mr Magan is also very helpful. I highly recommend you to buy products of Ramsung company and Tony TV you will get excellent service and if you have any problem in your products Mr Bageshwar will repair it he is an amazing technician. Once I even purchased Chaniya choli from here. You will also get some wonderful schemes like unlimited panipuri, free dandiya and a entertaining toy which will sing ""heppy deewali heppy deewali"" I also suggest you to claim yourself as a friend of Babita ji you will get discount.  Mr Jethalaal is a true kacchi vyapaari he never dissapoint his coustomber.You will also get products under LCD(Le Cum Daam) scheme.",
